"","log_e[1]","log_e[2]","log_e[3]","log_b[1]","log_b[2]","log_b[3]","e[1]","e[2]","e[3]","b[1]","b[2]","b[3]","lp__"
"5208",2.98531359949134,3.1253162268108,3.95299906235126,0.757811291461406,0.420828568043693,1.01427531266856,19.792708246457,22.7670935206742,52.0913580349523,2.13360127498798,1.523223126904,2.75736444607418,-145.114982910673
"5209",3.05602521116579,3.87974196259447,3.83654121706212,0.841725809228985,0.676625106808682,0.456518269932751,21.2429528794253,48.4117214245065,46.3648308983407,2.32036803582658,1.96722733421522,1.57856825726298,-143.96071437497
"5210",3.55838164344305,3.17147991112356,3.83210243206376,0.63448035154374,0.294641825345569,0.8202655528296,35.1063365771902,23.8427434010427,46.1594834662086,1.88604180805243,1.34264537101084,2.27110285525186,-141.761195216613
"5211",3.53158235441404,3.21743933859092,3.94194759786075,0.797074014973838,0.627870165624768,0.805264026987968,34.1780065686474,24.964113624382,51.5188416406729,2.21903854663568,1.87361583529092,2.23728712502677,-141.78696836553
"5212",3.02899372745651,3.88998913393258,3.61220689112123,0.614290901982415,0.357229940022937,0.595288140817972,20.6764160078423,48.910355057629,37.0477229539719,1.84834547664264,1.42936450017575,1.81355342845044,-142.24288830201
"5213",3.2452117408852,3.81207435021948,3.64946329247383,0.739294142058821,0.24483333810376,0.832106895506053,25.6671442687339,45.2441938958552,38.454021946615,2.0944566037791,1.27740840015689,2.29815561681949,-140.075113810757
"5214",3.24902605402776,3.38163928906374,3.8632810317123,0.855665219049702,0.576862981634895,0.770477021998184,25.765233747519,29.4189577823179,47.6213424578459,2.35293907998207,1.78044437430846,2.16079675556537,-137.717532835199
"5215",3.24657596609719,3.49946147653675,3.93835041541361,0.758573757244823,0.44849770693997,0.612810478335327,25.7021839296252,33.0976233118195,51.3338518882476,2.13522869330216,1.56595788984174,1.84561116675892,-137.645702870124
"5216",3.17981384983372,3.57741279016258,3.92628842828541,0.755664673935992,0.580297687528891,0.480342824340944,24.042277661499,35.7808484283533,50.7183829786715,2.12902616136522,1.78657019126234,1.61662852681302,-138.918533262291
"5217",3.25100360493647,3.57550133165023,3.95031982850808,0.69041725377438,0.46277519263195,0.417638656793876,25.8162362223033,35.712520145189,51.9519799022475,1.99454759215216,1.5884762011196,1.51837192188587,-139.41791320443
"5218",3.21463216985128,3.59584793184288,3.71135429994938,0.757647053353912,0.44307111122176,0.600627442569465,24.8941334140871,36.4465911144135,40.9091723175832,2.1332508851269,1.55748308492897,1.82326243403719,-137.185335675664
"5219",3.48042937729528,3.71461119546379,3.92037449179786,0.681408034770758,0.359272899568139,0.808837493090952,32.4736625361785,41.0426264224741,50.4193228658675,1.97665897829674,1.43228761891494,2.24529629645914,-139.202484167167
"5220",3.15051403284609,3.35616446954985,3.61961491772706,0.707601483760378,0.682238685499888,0.749623296892025,23.3480631682056,28.6789805536314,37.3231925545788,2.02911854356078,1.97830157363536,2.11620268631466,-139.158570579206
"5221",3.32921648301873,3.39903815250182,3.6966123063277,0.707632527426183,0.614774840782073,0.531593514684433,27.9164601115023,29.935293008941,40.3105131172623,2.02918153581648,1.84924017920714,1.70164174038651,-138.106526568461
"5222",3.34780175001774,3.41099073546817,3.90286878018694,0.570926022623077,0.680082113068348,0.831653022034325,28.4401463265285,30.2952439687748,49.5443773558489,1.76990526512141,1.97403982004226,2.29711278162663,-138.825164514622
"5223",3.16098563624195,3.67597623144492,3.64660179076201,0.841939977157813,0.432028592503658,0.578913352666143,23.5938394155899,39.4871866804368,38.3441429813878,2.32086503746194,1.54037915782818,1.78409869094855,-138.635813050992
"5224",3.22383106559185,3.6420438257505,3.55448313300749,1.04976685543915,0.34518093888857,0.709374403289028,25.1241884558235,38.169769415473,34.9697405911315,2.85698494990793,1.41224542666927,2.03271919834505,-141.1090290954
"5225",3.39533449974432,3.6879350201823,3.83778677112106,0.644729392390573,0.667481238326149,0.856577790496005,29.8246281370703,39.9622404762289,46.4226167819082,1.9054713244583,1.94932125636727,2.35508728504757,-138.31569788263
"5226",3.18494699057586,3.50270568360634,3.81359682155177,0.812392792790483,0.627904703555181,0.916375356139541,24.1660073457582,33.2051732181085,45.3131293468225,2.25329320498703,1.87368054722176,2.5002115696153,-137.872952577136
"5227",3.3781529037059,3.57545903047533,3.7598129955439,0.600964493526872,0.390550281422712,0.655877017342127,29.3165705430575,35.7110094955795,42.9403951826434,1.82387706996219,1.47779377263826,1.9268316413374,-137.38730400628
"5228",3.2576072376729,3.53344366364497,3.72931773220205,0.897139426873019,0.662424673512315,0.84739818941035,25.987281302822,34.2416816488923,41.6506815490666,2.45257729032223,1.93948926608889,2.3335674461313,-137.883010685026
"5229",3.41286713430687,3.59759176504105,3.7406438747615,0.665571949779154,0.560627216266136,0.723434531903624,30.3521432955967,36.510203338393,42.1251047266284,1.94560299036896,1.75177089499447,2.0615013579905,-136.923337827867
"5230",3.17863425627971,3.45997194013989,3.78318391679353,0.778466373605802,0.448308858898163,0.744037284531029,24.0139342658758,31.8160837472832,43.9557706913264,2.17812926616486,1.56566218968276,2.10441450706077,-136.954667328558
"5231",3.4328410415648,3.60278955774506,3.7628287980618,0.680230697568914,0.547609243487507,0.712339643084121,30.9644893038785,36.70046986153,43.0700904038432,1.97433315355488,1.72911418137365,2.03875564353496,-136.992641497156
"5232",3.32093822314474,3.65847328385139,3.73846268345703,0.633612207460753,0.478393605448962,0.799092713583557,27.6863143175976,38.8020578987919,42.0333219487858,1.88440516254135,1.61348043310585,2.2235226411596,-136.960273794884
"5233",3.20946713679223,3.30883347185918,3.87731413207115,0.769892289358183,0.550788970433256,0.881894096206392,24.7658858785182,27.3531985778311,48.2943285322324,2.15953363650345,1.73462104284651,2.41547050980929,-138.523832697076
"5234",3.3598359697845,3.57662448204435,3.71540129101449,0.773700287553885,0.353772982729493,0.57545293190528,28.7844689693372,35.7526532097797,41.0750668328237,2.16777281412532,1.42443177915723,1.77793562834382,-137.692225728823
"5235",3.17838149174591,3.36885791896093,3.76162157961041,0.853960547562442,0.457766016709663,0.607737279355175,24.0078651620357,29.0453359804581,43.0181267680456,2.34893150858798,1.58053914004373,1.8362717245254,-138.120612526767
"5236",3.26231853519094,3.70131606853766,3.69237424646615,0.607509861395787,0.65415027644415,0.774506279384641,26.1100039812504,40.500570828242,40.1400362503686,1.83585417083833,1.92350737323961,2.169520725611,-138.044303485083
